t,latitude,longitude,velocity_x_ref,velocity_y_ref,velocity_z_ref,heading,pitch,roll
4.0,0.9773843811169856,-3.5820478741894505e-09,-0.003190367047626985,2.5646005363810787e-07,0.0,0.8522434670166779,9.999376426974187e-05,0.08704983902104438
8.0,0.9773843811185068,-1.074614364248784e-08,-0.006380734112993829,2.422943769189027e-06,0.0,0.8523598371286045,9.997657247868302e-05,0.08704986170702607
12.0,0.9773843811221212,-2.1492198167616225e-08,-0.009571021787821508,5.756866248890492e-06,0.0,0.852476204263166,9.994842153456298e-05,0.08704989995702729
16.0,0.9773843811280956,-3.5820034049363e-08,-0.012761151460298955,9.515539089768803e-06,0.0,0.8525925684173615,9.990930944876026e-05,0.08704995376965868
20.0,0.97738438113623,-5.37293865210923e-08,-0.015951045317091524,1.295618930847934e-05,0.0,0.8527089295882626,9.985923450319927e-05,0.0870500231431463
24.0,0.9773843811458587,-7.521990434845095e-08,-0.01914062634531014,1.5335978269093243e-05,0.0,0.8528252877730146,9.979819525058407e-05,0.08705010807533185
28.0,0.9773843811558489,-1.0029115073024129e-07,-0.022329818334451385,1.5912020612474292e-05,0.0,0.8529416429688343,9.972619051462636e-05,0.08705020856367279
32.0,0.9773843811646019,-1.2894260420142071e-07,-0.02551854587830268,1.3941403192113368e-05,0.0,0.8530579951730088,9.964321939026494e-05,0.08705032460524265
36.0,0.9773843811700523,-1.611736595381932e-07,-0.028706734376816614,8.681204011958565e-06,0.0,0.8531743443828953,9.954928124387948e-05,0.08705045619673106
40.0,0.9773843811696684,-1.9698362866514944e-07,-0.031894310037946405,-6.114888373304115e-07,0.0,0.8532906905959186,9.944437571349821e-05,0.08705060333444406
44.0,0.9773843811604519,-2.3637174156442695e-07,-0.035081199879456244,-1.4679558236621506e-05,0.0,0.8534070338095708,9.932850270899702e-05,0.08705076601430425
48.0,0.9773843811389382,-2.7933714718684423e-07,-0.03826733173069015,-3.426583909771987e-05,0.0,0.8535233740214099,9.92016624122939e-05,0.08705094423185114
52.0,0.9773843811011965,-3.2587891436497695e-07,-0.041452634234313,-6.011309942041977e-05,0.0,0.8536397112290589,9.906385527753483e-05,0.08705113798224111
56.0,0.9773843810428295,-3.7599603272813545e-07,-0.04463703684801455,-9.296402135520952e-05,0.0,0.8537560454302046,9.891508203127425e-05,0.08705134726024794
60.0,0.9773843809589738,-4.296874136192056e-07,-0.0478204698461803,-0.0001335611822574406,0.0,0.8538723766225961,9.875534367264865e-05,0.08705157206026296
64.0,0.9773843808442998,-4.8695189101332e-07,-0.05100286432153237,-0.00018264703574630368,0.0,0.8539887048040437,9.858464147354131e-05,0.08705181237629521
68.0,0.9773843806930118,-5.477882224383159e-07,-0.05418415218673163,-0.00024096389276996217,0.0,0.8541050299724182,9.840297697874362e-05,0.08705206820197187
72.0,0.9773843804988483,-6.121950898969463e-07,-0.057364266175951015,-0.000309253902666652,0.0,0.8542213521256493,9.821035200610671e-05,0.08705233953053844
