t,latitude,longitude,velocity_x_ref,velocity_y_ref,velocity_z_ref,heading,pitch,roll
4.0,0.9773843811169856,-3.5820478741894505e-09,-0.003190367047626985,2.5646005319401866e-07,0.0,0.8029678290036375,9.999342108991293e-05,0.08704983870529676
8.0,0.9773843811185068,-1.0746143642486842e-08,-0.00638073411299294,2.4229437687449376e-06,0.0,0.8030841991156511,9.997513275233524e-05,0.08704986051694852
12.0,0.9773843811221212,-2.149219816761423e-08,-0.00957102178782062,5.756866249334049e-06,0.0,0.8032005662503562,9.994513194723518e-05,0.08704989733392748
16.0,0.9773843811280956,-3.582003404936001e-08,-0.012761151460298067,9.515539090211828e-06,0.0,0.8033169304047508,9.990341675684069e-05,0.08704994915474802
20.0,0.97738438113623,-5.3729386521088305e-08,-0.015951045317090636,1.2956189309810011e-05,0.0,0.8034332915759071,9.984998555253756e-05,0.08705001597755371
24.0,0.9773843811458587,-7.521990434844596e-08,-0.01914062634530925,1.5335978270423383e-05,0.0,0.8035496497609707,9.978483699509544e-05,0.08705009780011758
28.0,0.9773843811558489,-1.0029115073023431e-07,-0.022329818334449608,1.5912020613359814e-05,0.0,0.803666004957158,9.970797003488637e-05,0.08705019461984229
32.0,0.9773843811646019,-1.2894260420141124e-07,-0.025518545878300457,1.3941403193886004e-05,0.0,0.8037823571617565,9.961938391209566e-05,0.08705030643376022
36.0,0.9773843811700523,-1.6117365953817924e-07,-0.028706734376812613,8.68120401372987e-06,0.0,0.8038987063721228,9.951907815692568e-05,0.08705043323853391
40.0,0.9773843811696684,-1.9698362866512996e-07,-0.03189431003794151,-6.114888351174126e-07,0.0,0.8040150525856827,9.940705258979266e-05,0.08705057503045607
44.0,0.9773843811604519,-2.3637174156440098e-07,-0.035081199879450464,-1.4679558234411441e-05,0.0,0.8041313957999281,9.928330732151617e-05,0.08705073180544974
48.0,0.9773843811389382,-2.7933714718681125e-07,-0.03826733173068392,-3.426583909551326e-05,0.0,0.8042477360124174,9.914784275350119e-05,0.0870509035590688
52.0,0.9773843811011965,-3.25878914364936e-07,-0.04145263423430588,-6.011309941954916e-05,0.0,0.8043640732207736,9.900065957791455e-05,0.08705109028649796
56.0,0.9773843810428295,-3.7599603272808595e-07,-0.04463703684800699,-9.296402135478726e-05,0.0,0.8044804074226835,9.884175877784997e-05,0.08705129198255307
60.0,0.9773843809589738,-4.296874136191476e-07,-0.04782046984617273,-0.00013356118225746694,0.0,0.8045967386158964,9.867114162749262e-05,0.08705150864168153
64.0,0.9773843808442998,-4.869518910132536e-07,-0.05100286432152481,-0.00018264703574677864,0.0,0.8047130667982233,9.848880969226805e-05,0.08705174025796225
68.0,0.9773843806930118,-5.477882224382424e-07,-0.0541841521867254,-0.00024096389277177395,0.0,0.8048293919675349,9.829476482899246e-05,0.08705198682510627
72.0,0.9773843804988483,-6.121950898968668e-07,-0.05736426617594567,-0.0003092539026684675,0.0,0.8049457141217615,9.80890091860076e-05,0.08705224833645678
76.0,0.9773843802550819,-6.801711007907178e-07,-0.06054313984640435,-0.0003882590342298012,0.0,0.8050620332588907,9.787154520331717e-05,0.08705252478498955
80.0,0.9773843799545193,-7.517147888458278e-07,-0.0637207075798745,-0.0004787210567729456,0.0,0.805178349376967,9.764237561270408e-05,0.0870528161633132
84.0,0.9773843795895019,-8.268246150399066e-07,-0.0668969045841483,-0.000581381521208842,0.0,0.8052946624740905,9.740150343785497e-05,0.08705312246366949
88.0,0.9773843791519055,-9.054989685311801e-07,-0.07007166689447564,-0.0006969817411211168,0.0,0.805410972548416,9.714893199446617e-05,0.08705344367793376
92.0,0.9773843786331405,-9.877361675887873e-07,-0.07324493137496214,-0.0008262627738428367,0.0,0.8055272795981515,9.688466489034359e-05,0.08705377979761506
96.0,0.9773843780241527,-1.0735344605247088e-06,-0.07641663571994431,-0.0009699654015435643,0.0,0.8056435836215567,9.660870602550459e-05,0.0870541308138566
100.0,0.9773843773154224,-1.1628920266271741e-06,-0.0795867184553175,-0.0011288301123174008,0.0,0.8057598846169424,9.632105959225851e-05,0.08705449671743618
104.0,0.9773843764969655,-1.2558069770955238e-06,-0.08275511893984175,-0.001303597081279596,0.0,0.8058761825826689,9.602173007529073e-05,0.08705487749876636
108.0,0.9773843755583335,-1.3522773559764724e-06,-0.08592177736640057,-0.001495006151671292,0.0,0.8059924775171459,9.571072225173917e-05,0.087055273147895
112.0,0.9773843744886133,-1.4523011411017524e-06,-0.08908663476324107,-0.0017037968159631038,0.0,0.8061087694188293,9.538804119124977e-05,0.08705568365450553
116.0,0.9773843732764279,-1.5558762450270884e-06,-0.09224963299516893,-0.0019307081969775345,0.0,0.8062250582862219,9.505369225604636e-05,0.08705610900791741
120.0,0.9773843719099367,-1.6630005159724659e-06,-0.09541071476471308,-0.002176479029007155,0.0,0.8063413441178716,9.470768110097472e-05,0.08705654919708646
124.0,0.977384370376835,-1.7736717387636561e-06,-0.09856982361325368,-0.0024418476389516624,0.0,0.80645762691237,9.435001367354884e-05,0.08705700421060526
128.0,0.9773843686643554,-1.8878876357749647e-06,-0.10172690392212297,-0.002727551927455632,0.0,0.806573906668351,9.398069621398614e-05,0.08705747403670362
132.0,0.9773843667592671,-2.0056458678731596e-06,-0.1048819009136659,-0.003034329350061631,0.0,0.8066901833844913,9.359973525523603e-05,0.08705795866324899
136.0,0.9773843646478768,-2.126944035362538e-06,-0.10803476065226467,-0.0033629168983645057,0.0,0.806806457059506,9.320713762300424e-05,0.08705845807774679
140.0,0.9773843623160287,-2.251779678931101e-06,-0.111185430045336,-0.0037140510811895233,0.0,0.8069227276921512,9.28029104357645e-05,0.08705897226734105
144.0,0.9773843597491049,-2.3801502805977937e-06,-0.11433385684428966,-0.0040884679057655035,0.0,0.8070389952812197,9.238706110476627e-05,0.08705950121881467
148.0,0.9773843569320257,-2.512053264660776e-06,-0.11747998964545665,-0.0044869028589231705,0.0,0.8071552598255418,9.195959733403154e-05,0.08706004491858986
152.0,0.9773843538492502,-2.6474859986466778e-06,-0.12062377789097725,-0.004910090888294319,0.0,0.8072715213239828,9.152052712035238e-05,0.08706060335272885
156.0,0.9773843504847759,-2.786445794260809e-06,-0.12376517186965923,-0.005358766383530021,0.0,0.807387779775444,9.106985875327446e-05,0.08706117650693408
160.0,0.9773843468221401,-2.928929908338281e-06,-0.12690412271780174,-0.005833663157522796,0.0,0.8075040351788573,9.060760081506786e-05,0.08706176436654886
164.0,0.9773843428444196,-3.0749355437960033e-06,-0.13004058241998356,-0.006335514427659853,0.0,0.8076202875331894,9.01337621807022e-05,0.08706236691655778
168.0,0.977384338534231,-3.2244598505855137e-06,-0.13317450380981571,-0.006865052797066124,0.0,0.8077365368374358,8.964835201780933e-05,0.08706298414158727
172.0,0.9773843338737317,-3.3774999266466116e-06,-0.13630584057066605,-0.007423010235880637,0.0,0.8078527830906229,8.915137978663743e-05,0.08706361602590601
176.0,0.9773843288446198,-3.534052818861747e-06,-0.13943454723634285,-0.008010118062538702,0.0,0.8079690262918056,8.864285524000018e-05,0.08706426255342557
180.0,0.9773843234281345,-3.6941155240111286e-06,-0.14256057919174464,-0.008627106925067048,0.0,0.8080852664400656,8.812278842320829e-05,0.08706492370770086
184.0,0.977384317605057,-3.857684989728517e-06,-0.14568389267348053,-0.009274706782401701,0.0,0.8082015035345111,8.759118967402003e-05,0.0870655994719307
188.0,0.9773843113557102,-4.024758115457667e-06,-0.14880444477045515,-0.009953646885717066,0.0,0.808317737574275,8.704806962254728e-05,0.08706628982895834
192.0,0.9773843046599603,-4.195331753409365e-06,-0.1519221934244134,-0.010664655759772015,0.0,0.8084339685585145,8.649343919118395e-05,0.08706699476127203
196.0,0.9773842974972159,-4.369402709519041e-06,-0.15503709743045732,-0.011408461184273896,0.0,0.8085501964864092,8.592730959451985e-05,0.08706771425100553
200.0,0.9773842898464294,-4.546967744404909e-06,-0.15814911643752635,-0.012185790175258693,0.0,0.8086664213571597,8.534969233922982e-05,0.08706844827993877
204.0,0.9773842816860974,-4.728023574326596e-06,-0.16125821094884407,-0.012997368966491802,0.0,0.8087826431699873,8.476059922398496e-05,0.08706919682949843
208.0,0.9773842729942606,-4.912566872144223e-06,-0.16436434232233002,-0.013843922990882352,0.0,0.8088988619241322,8.416004233932906e-05,0.08706995988075836
212.0,0.9773842637485052,-5.100594268277903e-06,-0.16746747277097707,-0.014726176861920839,0.0,0.8090150776188524,8.35480340675671e-05,0.08707073741444038
216.0,0.9773842539259628,-5.292102351667611e-06,-0.1705675653631955,-0.01564485435513745,0.0,0.809131290253423,8.29245870826347e-05,0.08707152941091477
220.0,0.9773842435033112,-5.487087670733392e-06,-0.17366458402312057,-0.016600678389572635,0.0,0.8092474998271337,8.228971434996504e-05,0.08707233585020095
224.0,0.9773842324567747,-5.6855467343358676e-06,-0.17675849353088913,-0.017594371009276417,0.0,0.8093637063392897,8.164342912634605e-05,0.08707315671196802
228.0,0.9773842207621251,-5.8874760127370014e-06,-0.17984925952287945,-0.01862665336482043,0.0,0.8094799097892084,8.098574495977452e-05,0.08707399197553549
232.0,0.9773842083946815,-6.092871938561091e-06,-0.18293684849191857,-0.019698245694841385,0.0,0.8095961101762197,8.031667568929565e-05,0.08707484161987385
236.0,0.977384195329312,-6.301730907755936e-06,-0.18602122778745347,-0.02080986730759643,0.0,0.8097123074996639,7.963623544484173e-05,0.08707570562360517
240.0,0.9773841815404333,-6.514049280554158e-06,-0.18910236561568894,-0.021962236562545104,0.0,0.8098285017588908,7.894443864706483e-05,0.08707658396500391
244.0,0.9773841670020118,-6.72982338243462e-06,-0.1921802310396917,-0.023156070851956086,0.0,0.8099446929532592,7.82413000071441e-05,0.08707747662199745
248.0,0.9773841516875641,-6.949049505083928e-06,-0.19525479397946244,-0.024392086582530365,0.0,0.8100608810821345,7.752683452661242e-05,0.08707838357216682
252.0,0.9773841355701576,-7.171723907357941e-06,-0.19832602521196652,-0.025670999157057253,0.0,0.8101770661448887,7.68010574971637e-05,0.08707930479274734
256.0,0.9773841186224113,-7.397842816243294e-06,-0.20139389637113816,-0.02699352295608641,0.0,0.8102932481408982,7.606398450044314e-05,0.08708024026062938
260.0,0.9773841008164962,-7.627402427818863e-06,-0.20445837994784677,-0.02836037131963053,0.0,0.8104094270695428,7.531563140784413e-05,0.08708118995235899
